gw,is_home,opponent_name,opponent_code,difficulty,finished
1,False,Man Utd,1,4,True
2,True,Leeds,2,2,True
3,False,Liverpool,14,4,True
4,True,Nott'm Forest,17,3,True
5,True,Man City,43,4,True
6,False,Newcastle,4,3,True
7,True,West Ham,21,2,True
8,False,Fulham,54,3,True
9,True,Crystal Palace,31,3,True
10,False,Burnley,90,2,True
11,False,Sunderland,56,3,True
12,True,Spurs,6,3,True
13,False,Chelsea,8,3,True
14,True,Brentford,94,3,True
15,False,Aston Villa,7,4,True
16,True,Wolves,39,1,True
17,False,Everton,11,3,True
18,True,Brighton,36,3,True
19,True,Aston Villa,7,3,True
20,False,Bournemouth,91,4,True
21,True,Liverpool,14,3,True
22,False,Nott'm Forest,17,3,True
23,True,Man Utd,1,3,True
24,False,Leeds,2,3,True
25,True,Sunderland,56,2,True
26,False,Brentford,94,3,True
26,False,Wolves,39,2,True
27,False,Spurs,6,3,True
28,True,Chelsea,8,3,True
29,False,Brighton,36,4,True
30,True,Everton,11,3,True
32,True,Bournemouth,91,3,True
33,False,Man City,43,5,True
34,True,Newcastle,4,3,True
35,True,Fulham,54,3,True
36,False,West Ham,21,3,True
37,True,Burnley,90,1,True
38,False,Crystal Palace,31,3,True
