fixture,opponent_team,was_home,kickoff_time,team_h_score,team_a_score,round
1,12,False,2025-08-15T19:00:00Z,4,2,1
12,20,True,2025-08-23T14:00:00Z,1,0,2
29,18,False,2025-08-30T14:00:00Z,0,1,3
32,6,True,2025-09-13T14:00:00Z,2,1,4
42,15,True,2025-09-21T13:00:00Z,0,0,5
56,11,False,2025-09-27T14:00:00Z,2,2,6
63,10,True,2025-10-03T19:00:00Z,3,1,7
73,8,False,2025-10-18T14:00:00Z,3,3,8
83,16,True,2025-10-26T14:00:00Z,2,0,9
96,13,False,2025-11-02T16:30:00Z,3,1,10
101,2,False,2025-11-09T14:00:00Z,4,0,11
112,19,True,2025-11-22T15:00:00Z,2,2,12
128,17,False,2025-11-29T15:00:00Z,3,2,13
132,9,True,2025-12-02T19:30:00Z,0,1,14
142,7,True,2025-12-06T15:00:00Z,0,0,15
157,14,False,2025-12-15T20:00:00Z,4,4,16
162,3,True,2025-12-20T15:00:00Z,1,1,17
172,5,False,2025-12-27T15:00:00Z,4,1,18
184,7,False,2025-12-30T19:30:00Z,2,2,19
192,1,True,2026-01-03T17:30:00Z,2,3,20
202,18,True,2026-01-07T19:30:00Z,3,2,21
212,6,False,2026-01-19T20:00:00Z,1,1,22
222,12,True,2026-01-24T17:30:00Z,3,2,23
240,20,False,2026-01-31T15:00:00Z,0,2,24
242,2,True,2026-02-07T15:00:00Z,1,1,25
255,9,False,2026-02-10T19:30:00Z,1,2,26
270,19,False,2026-02-21T17:30:00Z,0,0,27
272,17,True,2026-02-28T12:30:00Z,1,1,28
282,5,True,2026-03-03T19:30:00Z,0,0,29
293,3,False,2026-03-14T15:00:00Z,0,0,30
302,14,True,2026-03-20T20:00:00Z,2,2,31
311,1,False,2026-04-11T11:30:00Z,1,2,32
328,15,False,2026-04-18T14:00:00Z,1,2,33
343,8,True,2026-05-03T13:00:00Z,3,0,35
354,10,False,2026-05-09T14:00:00Z,0,1,36
363,13,True,2026-05-19T18:30:00Z,1,1,37
377,16,False,2026-05-24T15:00:00Z,1,1,38
